org_key,raw_org_name,source_file,wave_date,theme,question,answer,canonical_org_id,org_name
thrivewatergroup,ThriveWater Group,AP1_April_2023_SA__Knowledge___Behaviour.csv,2023-04,Programme benefit,In what ways has the program benefitted you?,"The program has given me exposure to a global group of thinkers and leaders who are solving some of the worlds most pressing issues. What I have learnt the most was understanding the SDG/ESG landscape, its metrics and the possibilities.",org_005,ThriveWater Group
thrivewatergroup,ThriveWater Group,AP1_April_2023_SA__Knowledge___Behaviour.csv,2023-04,Programme benefit,In what ways has the program benefitted you?,Understanding social impact opportunities and businesses and how to develop simple practical solutions that can have direct impact to society and communities ...particular WASH sector,org_005,ThriveWater Group
cleanpathafrica,CleanPath Africa,AP1_April_2023_SA__Knowledge___Behaviour.csv,2023-04,Wins / Proud of,What has been your biggest take-away from the program?,"The impact management framework, setting attainable goals for ourselves and what we need to do to get there has shaped our thinking.",org_001,CleanPath Africa
clearwaveafrica,ClearWave Africa,AP1_April_2023_SA__Knowledge___Behaviour.csv,2023-04,Wins / Proud of,What has been your biggest take-away from the program?,"Completing the IMM Framework, learning from fellow colleagues.",org_002,ClearWave Africa
cleanpathafrica,CleanPath Africa,AP1_April_2023_SA__Knowledge___Behaviour.csv,2023-04,Wins / Proud of,What has been your biggest take-away from the program?,Its difficult one. The is so much staff I am taking away. But I would say the how to build a social impact venture and what tools to use.,org_001,CleanPath Africa
purecircleinnovations,PureCircle Innovations,AP1_April_2023_SA__Knowledge___Behaviour.csv,2023-04,Wins / Proud of,What has been your biggest take-away from the program?,The importance of peer-to-peer learning and how others are navigating through their challenges with the lessons from the programme.,org_003,PureCircle Innovations
purecircleinnovations,PureCircle Innovations,AP1_April_2023_SA__Knowledge___Behaviour.csv,2023-04,Wins / Proud of,What has been your biggest take-away from the program?,"Validating our product design, tweaking it according to the current needs of th community and customers.",org_003,PureCircle Innovations
evergreenaccess,EverGreen Access,AP1_April_2023_SA__Knowledge___Behaviour.csv,2023-04,Wins / Proud of,What has been your biggest take-away from the program?,Together we can achieve way more than single solutions.,org_004,EverGreen Access
purecircleinnovations,PureCircle Innovations,AP1_April_2023_SA__Knowledge___Behaviour.csv,2023-04,Wins / Proud of,What has been your biggest take-away from the program?,Measuring impact and the absolute key importance of that.,org_003,PureCircle Innovations
thrivewatergroup,ThriveWater Group,AP1_April_2023_SA__Knowledge___Behaviour.csv,2023-04,Wins / Proud of,What has been your biggest take-away from the program?,Climate impact unlocking additional funding Empathy mapping Design thinking Blended Finance and Strategy,org_005,ThriveWater Group
evergreenaccess,EverGreen Access,AP1_April_2023_SA__Knowledge___Behaviour.csv,2023-04,Wins / Proud of,What has been your biggest take-away from the program?,"Two big takeaways: 1) We changed product development partner (as discussed with Chrispin); 2) ToC became very clear, together with clarity on potential impact.",org_004,EverGreen Access
freshstartenterprises,FreshStart Enterprises,AP1_April_2023_SA__Knowledge___Behaviour.csv,2023-04,Wins / Proud of,What has been your biggest take-away from the program?,"Understanding that enterprises in the same sector are experiencing similar issues/challenges, exchanging and sharing tips on different approaches to resolve these issues was a huge take away from my side.",org_006,FreshStart Enterprises
freshstartenterprises,FreshStart Enterprises,AP1_April_2023_SA__Knowledge___Behaviour.csv,2023-04,Wins / Proud of,What has been your biggest take-away from the program?,"Impact measurement and quality assurance, now have a better idea of how we will manage the two aspects at scale",org_006,FreshStart Enterprises
thrivewatergroup,ThriveWater Group,AP1_April_2023_SA__Knowledge___Behaviour.csv,2023-04,Wins / Proud of,What has been your biggest take-away from the program?,Understanding how to craft a ToC and IMM.,org_005,ThriveWater Group
thrivewatergroup,ThriveWater Group,AP1_April_2023_SA__Knowledge___Behaviour.csv,2023-04,Wins / Proud of,What has been your biggest take-away from the program?,Implementing the learning of program by getting more involved in social impact business,org_005,ThriveWater Group
cleanpathafrica,CleanPath Africa,AP1_April_2023_SA__Knowledge___Behaviour.csv,2023-04,Partnerships,What new partnerships were enabled by the programme through or 6/12 months after the programme?,We have come together with an association of 20 ECD's in Hamanskraal called Child minders and Loo Afrika.,org_001,CleanPath Africa
clearwaveafrica,ClearWave Africa,AP1_April_2023_SA__Knowledge___Behaviour.csv,2023-04,Partnerships,What new partnerships were enabled by the programme through or 6/12 months after the programme?,"We are still engaging with potential program colleagues on potential ventures (CleanPath Africa, ThriveWater Group, Penine, etc.).",org_002,ClearWave Africa
cleanpathafrica,CleanPath Africa,AP1_April_2023_SA__Knowledge___Behaviour.csv,2023-04,Partnerships,What new partnerships were enabled by the programme through or 6/12 months after the programme?,"We are in the process to partnering with Loo Africa, SavvyLoo, Child Minders forum with over 20 ECDs educating over 600 children.",org_001,CleanPath Africa
purecircleinnovations,PureCircle Innovations,AP1_April_2023_SA__Knowledge___Behaviour.csv,2023-04,Partnerships,What new partnerships were enabled by the programme through or 6/12 months after the programme?,CleanPath Africa.,org_003,PureCircle Innovations
purecircleinnovations,PureCircle Innovations,AP1_April_2023_SA__Knowledge___Behaviour.csv,2023-04,Partnerships,What new partnerships were enabled by the programme through or 6/12 months after the programme?,"CleanPath Africa, ThriveWater Group, FreshStart Enterprises.",org_003,PureCircle Innovations
evergreenaccess,EverGreen Access,AP1_April_2023_SA__Knowledge___Behaviour.csv,2023-04,Partnerships,What new partnerships were enabled by the programme through or 6/12 months after the programme?,"Potential to collaborate on GIS with ThriveWater Group, and potential partnerships with FreshStart Enterprises.",org_004,EverGreen Access
purecircleinnovations,PureCircle Innovations,AP1_April_2023_SA__Knowledge___Behaviour.csv,2023-04,Partnerships,What new partnerships were enabled by the programme through or 6/12 months after the programme?,"Possible partnership with FreshStart Enterprises, with Aurelia and with an external funder to increase water harvesting at our farm.",org_003,PureCircle Innovations
thrivewatergroup,ThriveWater Group,AP1_April_2023_SA__Knowledge___Behaviour.csv,2023-04,Partnerships,What new partnerships were enabled by the programme through or 6/12 months after the programme?,Partnership with peers like Sundus Aziz from EverGreen Access for removal of waste management systems we are seeking to move things forward with BrightWash and CleanSure after initial conversation,org_005,ThriveWater Group
evergreenaccess,EverGreen Access,AP1_April_2023_SA__Knowledge___Behaviour.csv,2023-04,Partnerships,What new partnerships were enabled by the programme through or 6/12 months after the programme?,Cohort collaboration. Aurelia participation in working with us. Many willing advisors through Silverline Capital and the program.,org_004,EverGreen Access
thrivewatergroup,ThriveWater Group,AP1_April_2023_SA__Knowledge___Behaviour.csv,2023-04,Partnerships,What new partnerships were enabled by the programme through or 6/12 months after the programme?,"In our organisation we were able to use the empathy mapping exercises when speaking to Alliance National Bank and Riverside Memorial Trust. This left our clients feeling ""heard"" and it paved the way for future conversations.",org_005,ThriveWater Group
thrivewatergroup,ThriveWater Group,AP1_April_2023_SA__Knowledge___Behaviour.csv,2023-04,Partnerships,What new partnerships were enabled by the programme through or 6/12 months after the programme?,Currently in discussions with ClearWave Africa & PureCircle Innovations,org_005,ThriveWater Group
clearwaveafrica,ClearWave Africa,AP1_October_2023_SA.csv,2023-10,Wins / Proud of,"2. Can you share the top 5 key business and impact updates, changes or improvements that have taken place since the accelerator programme ended in April?","We were placed second in a pitch competition (Innovation Hub OpenIX). We won an award at Global clean tech innovation programme (we were in the top ten and won first place for the WASH category), we've been able to grow our team. And we've been able to improve our product, and refining our data collection system.",org_002,ClearWave Africa
cleanpathafrica,CleanPath Africa,AP1_October_2023_SA.csv,2023-10,Wins / Proud of,"2. Can you share the top 5 key business and impact updates, changes or improvements that have taken place since the accelerator programme ended in April?",We have sales of 16 units Secured R150k grant funding from Innovation Edge with potential follow-up investment in 2024.,org_001,CleanPath Africa
evergreenaccess,EverGreen Access,AP1_October_2023_SA.csv,2023-10,Wins / Proud of,"2. Can you share the top 5 key business and impact updates, changes or improvements that have taken place since the accelerator programme ended in April?","1. Completion and testing of the failure modes and effects analysis (FMEA) on separation, drying and ""hot house"" temperatures (until end August 2023); 2. Re-engaging with Vaal University of Technology industrial designer on final design, and long term (""A-Z"") development process (through 100 units for Meridian Trust Foundation (June 2024) and design for volume production through Academic Research Institute/Other or internationally (ongoing since July 2023, and making good progress to-date). 3. Funding application to Apex Innovation Bridge for co-funding in terms of our Meridian Trust Foundation agreement (manufacturing of first 100 units). Interview stage (October 2023), but no final outcome as yet. 4. Contracts concerning use of Intellectual Property for overseas markets and marketing outside of South Africa (through Anthony van Zantwijk), with a view to ARIPO countries (completed). 5. Interrogating ""easy logistics"" for removal of dry solid waste and separation of water from urea (about 80% logistics savings compared to chemical toilets). Mainly input from Academic Research Institute and VUT (ongoing thinking around optimisation, which may lead to some new IP).",org_004,EverGreen Access
purecircleinnovations,PureCircle Innovations,AP1_October_2023_SA.csv,2023-10,Wins / Proud of,"2. Can you share the top 5 key business and impact updates, changes or improvements that have taken place since the accelerator programme ended in April?",1. Working closely with ECD’s and have a sense of their successes and gaps. 2. More children having access to clean water. 3. More children living healthier lives and improving their sanitation.,org_003,PureCircle Innovations
freshstartenterprises,FreshStart Enterprises,AP1_October_2023_SA.csv,2023-10,Wins / Proud of,"2. Can you share the top 5 key business and impact updates, changes or improvements that have taken place since the accelerator programme ended in April?","Dashboard: we have created an impact measurement dashboard, water flow, user demographic and locations Each water kiosk goes out with a sensor We have created 50 jobs",org_006,FreshStart Enterprises
thrivewatergroup,ThriveWater Group,AP1_October_2023_SA.csv,2023-10,Wins / Proud of,"2. Can you share the top 5 key business and impact updates, changes or improvements that have taken place since the accelerator programme ended in April?","- Clear ToC, a living document with core founding - Customer Mapping, we now have a good understanding of our end customers, and their touchpoints - Growth of our story bank according to stakeholder - 250 committed SLA today - internal EQ and culture",org_005,ThriveWater Group
clearwaveafrica,ClearWave Africa,AP1_October_2023_SA.csv,2023-10,Partnerships,8. What new partnerships were enabled by the programme 6 months after the programme?,1. Mentorship gave us a cushion to lean back on people we have met 2. Potential within the cohort- engage with each other as collaborators rather than competition. 3. Linked up with more potential investors and collaborators in the impact market 4. more confident to interact and engage with clients.,org_002,ClearWave Africa
cleanpathafrica,CleanPath Africa,AP1_October_2023_SA.csv,2023-10,Partnerships,8. What new partnerships were enabled by the programme 6 months after the programme?,National Science Council,org_001,CleanPath Africa
evergreenaccess,EverGreen Access,AP1_October_2023_SA.csv,2023-10,Partnerships,8. What new partnerships were enabled by the programme 6 months after the programme?,"We have engaged, mainly through Sundus Aziz, with a number of potential partners [Sundus Aziz is better placed to elaborate].",org_004,EverGreen Access
purecircleinnovations,PureCircle Innovations,AP1_October_2023_SA.csv,2023-10,Partnerships,8. What new partnerships were enabled by the programme 6 months after the programme?,With more WASH entrepreneurs.,org_003,PureCircle Innovations
freshstartenterprises,FreshStart Enterprises,AP1_October_2023_SA.csv,2023-10,Partnerships,8. What new partnerships were enabled by the programme 6 months after the programme?,Horizon Development Bank - working on access to water for 13 schools,org_006,FreshStart Enterprises
thrivewatergroup,ThriveWater Group,AP1_October_2023_SA.csv,2023-10,Partnerships,8. What new partnerships were enabled by the programme 6 months after the programme?,"None from Aurelia, but ThriveWater Group obtained partnership with Apex Innovation Bridge, and WaterBridge Alliance and Nueva Vida Partners",org_005,ThriveWater Group
clearwaveafrica,ClearWave Africa,AP1_October_2023_SA.csv,2023-10,Needs,"What are your anticipated support needs from FFA and our program partners, and what is your vision for continued engagement and collaboration with the FFA moving forward?","Replication follows footprint of Aurelia, grow a market throughout africa. This can be done through collaboration with cohort members (SA and Brazil) and for us to work together, can grow our markets as entrepreneurs.",org_002,ClearWave Africa
cleanpathafrica,CleanPath Africa,AP1_October_2023_SA.csv,2023-10,Needs,"What are your anticipated support needs from FFA and our program partners, and what is your vision for continued engagement and collaboration with the FFA moving forward?",We need PureGuard to show more commitment to supporting FFA entrepreneurs. We had one meeting and were promised follow-up activities which never materialised. We hope the FFA team can assist us to working with PureGuard.,org_001,CleanPath Africa
evergreenaccess,EverGreen Access,AP1_October_2023_SA.csv,2023-10,Needs,"What are your anticipated support needs from FFA and our program partners, and what is your vision for continued engagement and collaboration with the FFA moving forward?",We are seeking to meet the Meridian Trust Foundation co-funding agreed targets.,org_004,EverGreen Access
purecircleinnovations,PureCircle Innovations,AP1_October_2023_SA.csv,2023-10,Needs,"What are your anticipated support needs from FFA and our program partners, and what is your vision for continued engagement and collaboration with the FFA moving forward?",More opportunities around WASH & Social impact across the globe.,org_003,PureCircle Innovations
thrivewatergroup,ThriveWater Group,AP1_October_2023_SA.csv,2023-10,Needs,"What are your anticipated support needs from FFA and our program partners, and what is your vision for continued engagement and collaboration with the FFA moving forward?","We would like support from the program partners in terms of implementing actual projects and programmes with us, to help gain the momentum and create lasting impact, financial and non financial",org_005,ThriveWater Group
hydroguardsolutions,HydroGuard Solutions,AP1_October_2023_BRA.csv,2023-10,Needs,"Quais são as suas necessidades de suporte antecipadas da FFA e de nossos parceiros do programa, e qual é a sua visão para o envolvimento e colaboração contínuos com a FFA avançando?","Acredito que 'gerar negócios' na prática é a melhor forma de apoiar startups como a nossa. O auxílio financeiro também é muito importante, mesmo não sendo um valor tão alto, mas é bom o suficiente para ser aplicado em algo importante para a organização. No futuro, acredito que manter uma rede de alumni e parceiros conectados pode ser um sucesso, pois as vezes o timing da startup (para fazer alguma parceria etc) não é o ideal durante o programa, mas pouco tempo depois, pode-se chegar num ambiente favorável para que muito mais coisa aconteça. :) No fim, adoramos o programa, as pessoas, e tudo! tem sido incrível. Só começou. Temos muito ainda para compartilharmos juntos. Contem sempre com a gente também! s2 Ezequiel.",org_007,HydroGuard Solutions
ecopulsetechnologies,EcoPulse Technologies,AP1_October_2023_BRA.csv,2023-10,Needs,"Quais são as suas necessidades de suporte antecipadas da FFA e de nossos parceiros do programa, e qual é a sua visão para o envolvimento e colaboração contínuos com a FFA avançando?",Apoio na elaboração de editais e capital semente para novos projetos.,org_008,EcoPulse Technologies
crystalflowsystems,CrystalFlow Systems,AP1_October_2023_BRA.csv,2023-10,Needs,"Quais são as suas necessidades de suporte antecipadas da FFA e de nossos parceiros do programa, e qual é a sua visão para o envolvimento e colaboração contínuos com a FFA avançando?","Nossa demanda por suporte visa ampliar o alcance da plataforma e fomentar o envolvimento das comunidades na colaboração com organizações públicas e privadas, visando impulsionar a gestão sustentável dos recursos hídricos. Estamos em busca de parcerias com organizações públicas e privadas que tenham o interesse em minimizar os riscos associados ao impacto negativo em comunidades, decorrente de seus processos produtivos. Além disso, buscamos parceiros que estejam comprometidos em gerar impacto positivo nas comunidades, tanto dentro quanto fora de sua região de atuação, com o objetivo de promover a gestão sustentável dos recursos hídricos. A nossa abordagem se baseia em uma plataforma colaborativa que integra a comunidade, organizações públicas e privadas. Esta integração visa criar um ambiente propício para a promoção efetiva da gestão sustentável dos recursos hídricos, incentivando a participação ativa de todas as partes interessadas. Permitindo assim, acompanhar os indicadores de interesse, promover decisões orientada por dados, além de, criar uma base de informações que poderá contribuir com a criação de politicas públicas e impacto positivo direto nas comunidades atendidas.",org_009,CrystalFlow Systems
vitalwavesystems,VitalWave Systems,AP1_October_2023_BRA.csv,2023-10,Needs,"Quais são as suas necessidades de suporte antecipadas da FFA e de nossos parceiros do programa, e qual é a sua visão para o envolvimento e colaboração contínuos com a FFA avançando?",Sempre presamos pela atuação em rede e suportamos fortemente o ODS 17 - fortalecer meios de parcerias. Cremos que esse apoio em rede continuado é imprescindível para o seguimento dos trabalhos no setor.,org_010,VitalWave Systems
greenwaveenterprises,GreenWave Enterprises,AP1_October_2023_BRA.csv,2023-10,Needs,"Quais são as suas necessidades de suporte antecipadas da FFA e de nossos parceiros do programa, e qual é a sua visão para o envolvimento e colaboração contínuos com a FFA avançando?","Contribuir para a Comunidade: Participar ativamente na comunidade FFA, compartilhando nossas experiências, aprendizados e conhecimentos, contribuindo para o crescimento coletivo. Mentoria Recíproca: Se apropriado, oferecer mentorias para novas startups que ingressam no programa, contribuindo para a diversidade de perspectivas e aprimorando a colaboração entre os participantes. Engajamento em Programas Futuros: Manifestar interesse em futuros programas, caso se alinhem com nossas metas de crescimento e desenvolvimento. Participação em Eventos e Iniciativas: Estar envolvido em eventos, workshops ou iniciativas promovidas pela FFA que possam beneficiar a GreenWave Enterprises e reforçar nosso compromisso com a missão da FFA.",org_011,GreenWave Enterprises
clearwaveafrica,ClearWave Africa,AP1_Endline_April_24_SA.csv,2024-04,Partnerships,What new partnerships were enabled by the programme during or after the programme?,"We recently just confirmed our ToC in March 2024; and are in implementation phase. So far with client mapping, we are getting meeting times to present our impact solution and are on a quotation phase with other clientele. Implementation of ToC we believe has come at the right time and will allow for us to open up a new market of engagement.",org_002,ClearWave Africa
cleanpathafrica,CleanPath Africa,AP1_Endline_April_24_SA.csv,2024-04,Partnerships,What new partnerships were enabled by the programme during or after the programme?,We extended our programme to 2 more Early Childhood Development Forums in Hammanskraal. CleanPath Africa and ClearWave Africa is currently considering a merger . The discussing is to see how we can bring our efforts together under one company.,org_001,CleanPath Africa
freshstartenterprises,FreshStart Enterprises,AP1_Endline_April_24_SA.csv,2024-04,Partnerships,What new partnerships were enabled by the programme during or after the programme?,Partnership with PureCircle Innovations using our tech in their kiosks,org_006,FreshStart Enterprises
thrivewatergroup,ThriveWater Group,AP1_Endline_April_24_SA.csv,2024-04,Partnerships,What new partnerships were enabled by the programme during or after the programme?,Apex Innovation Bridge Global Sanitation Alliance WaterBridge Alliance,org_005,ThriveWater Group
evergreenaccess,EverGreen Access,AP1_Endline_April_24_SA.csv,2024-04,Partnerships,What new partnerships were enabled by the programme during or after the programme?,"1. TerraFund Africa (extended period of relationship) 2. Legacy Impact Trust 3. Karen Fischer (industrial design, with focus on improved design of SavvyLoo v4 to incorporate changes/improvements from Skeg prototypes and FMEA results, particularly the actuator, heat transfer and collection areas) 4. Academic Research Institute (represented by Marco Bellini), who collaborated on FMEA tests)",org_004,EverGreen Access
purecircleinnovations,PureCircle Innovations,AP1_Endline_April_24_SA.csv,2024-04,Partnerships,What new partnerships were enabled by the programme during or after the programme?,We partnered with FreshStart Enterprises.,org_003,PureCircle Innovations
clearwaveafrica,ClearWave Africa,AP1_Endline_April_24_SA.csv,2024-04,Wins / Proud of,"Can you share the top 5 key business and impact updates, changes or improvements that have taken place since the accelerator programme ended last year?","Upon conclusion of the program: 1. We officially launched our impact program in Soweto. 2. Aurelia further assisted us with R300, 000 towards a supplier development program (which we used the funds towards the upkeep of the company and production of new products (Rapid Lux & FUson). 3. The Department of Science and Innovation invited us to the 2023 Science Forum and we WON best Innovative Exhibitor Award. 4. We are rolling out 2 more impact sites (creches) with FarSight Ventures. 5. We are piloting our 2 new products (Rapid Lux & FUson). 6. As of March 2024, we are officially going to market as an impact company. 7. We have appointed an Advisory Board to help steer the ship. 8. We have been in talks with a potential impact investor - however the deal fell through (we are in process to try remedy and fix all highlighted issues - ear marking a re-submission by Q3 - 2024). 9. The Launch has given us some interest in the media - and we are trying to use as many as possible platforms to communicate our impact goal - of installing hand wash ready toilets in 400 creches. 10. We were featured in Aurelia's 2023/2024 Sustainability Report - as 1 of the recognized WASH companies in South Africa making an impact in ECD's.",org_002,ClearWave Africa
cleanpathafrica,CleanPath Africa,AP1_Endline_April_24_SA.csv,2024-04,Wins / Proud of,"Can you share the top 5 key business and impact updates, changes or improvements that have taken place since the accelerator programme ended last year?",1. We sold 23 units. 2. 13 daycare centers with CleanPath Africa washbasins 3. 1175 children impact by our business 4. daycare leaders reached with our Hand Hygiene Awareness Programme. 5. 90 story Books distributed.,org_001,CleanPath Africa
freshstartenterprises,FreshStart Enterprises,AP1_Endline_April_24_SA.csv,2024-04,Wins / Proud of,"Can you share the top 5 key business and impact updates, changes or improvements that have taken place since the accelerator programme ended last year?",Exposure: Programme gave us access to markets and funders Impact measurement: The IMM tool was a game changer in how we measure impact New Quality system implemented,org_006,FreshStart Enterprises
thrivewatergroup,ThriveWater Group,AP1_Endline_April_24_SA.csv,2024-04,Wins / Proud of,"Can you share the top 5 key business and impact updates, changes or improvements that have taken place since the accelerator programme ended last year?",new operations plant New waste truck close to 100 house active with sanitation intervention 3.5 tonnes a day waste removal off environment,org_005,ThriveWater Group
evergreenaccess,EverGreen Access,AP1_Endline_April_24_SA.csv,2024-04,Wins / Proud of,"Can you share the top 5 key business and impact updates, changes or improvements that have taken place since the accelerator programme ended last year?","1. Thematic groups (Bootcamp 1 on Efficient Water and Sanitation Services), provided a clear focus on 4 impact areas: Environment (re-use waste, save water, reduce greenhouse gas emissions); Education (learning outcomes and school attendance); Economic (household income, reduced sanitation costs, water savings); and Health (reduce illness, waterborne diseases, and diarrhoea). EverGreen Access’s specific causal pathway was somewhat crudely unpacked in terms of Activities (SavvyLoo sales, logistics savings, lower PSP costs, and beneficial use of waste-streams), Outputs (interactions on communities as users, bio-degradable waste streams, faster servicing, savings in water and logistics), Intermediate Outcomes (knowledge and behaviour such as less pollution, better access and more use of SavvyLoos, economic potential of communities), and Outcomes (societal impact: water savings, reduced greenhouse gas emissions, better school attendance, waste reused, fewer deaths). In my view, the EverGreen Access causal pathway aligns well with the four Thematic Group’s impact areas. We have continued to use EverGreen Access’s specific causal pathway in our redesign SavvyLoo v4 and business thinking with both Academic Research Institute and Karen Fischer (industrial design). 2. My single biggest “mindset change” came from Chrispin Russell’s presentation on “ideation to Minimum Viable Product (MVP)” during November 2022, and a further conversation with him during the following week. Crispin had started with his “Ozone” ideation in 2009 (some 13 years ago). In parallel, EverGreen Access’s SavvyLoo started its product development with the Vaal University of Technology during 2013 and completed SavvyLoo v1 and v2 field trials from 2015 to 2018, which worked well as MVPs. EverGreen Access then moved its product development to Skeg based in Cape Town (1 400 kms away) in 2019, and Skeg manufactured SavvyLoo v3 for field trials during 2020/2021. Skeg’s SavvyLoo v3 models failed in three key respects: “Hot box” design failed; “Drying time” of solids was inadequate; “Actuator” was over designed (excessive movement which, in turn, reduced drying time). During his presentation and discussion, Chrispin stressed: (a) the importance of working with the right product development company (he had also previously removed product development from Skeg), (b) “start small”, de-risk, “walk first” and then “build up”, (c) continuously test assumptions. This interaction with Chrispin, completely changed the direction of the product development of SavvyLoo: (a) terminate with Skeg after the first 2 models were delivered and tested, (b) engage with Sandro of Academic Research Institute, who recommended a completing a Failure Mode and Effects Analysis (FMEA) during 2022/2023 (completed), and (c) re-engage with Karen Fischer of the Vaal University of Technology on SavvyLoo v4 design, to incorporate changes/improvements from the Skeg prototypes and FMEA results (2024). This is currently in progress. 3. I use The Theory of Change model for EverGreen Access, flowing from the Thematic groups (Bootcamp 1), for all my stakeholder interactions, as a diagram. I prefer the simple earlier diagrammatic version (Excel) over the proposed formal one Sundus Aziz and I used to derive measures. Principles: • SavvyLoo as a tool (development currently in-progress) provides →: • Interim Outcomes: (a) “desiccated waste streams (i.e. no sludge leakage in surface or groundwater)”, (b) “lower logistics requirements (i.e. less risk of polluting through servicing)”, (c) “greater access and service envelopes (i.e. greater access to hygiene)”, and (d) “waste valorisation partners/licensees (i.e. shared economic value)”. These result in →: • Outputs: (a) “cleaner waterways, water supplies and environment”, (b) “less respiratory disease”, (c) “healthier communities and schools”, (d) “natural fertilisers, energy and urea”. These, in turn, mean →: • Ultimately: “Improve livelihoods, sustainably”. 4. Involvement of Legacy Impact Trust (UJ PEETS). UJ PEETS team conducted a technology audit study for the existing prototype on 5 December 2023, several teleconference meetings, and a meeting with the Head of UJ PEETS on 14 February 2024. UJ PEETS to make recommendations on the management of the urea (~1.5 l per person per day) and the dry faecal matter (~ 0.45 kg per person per day), taking into considerations the logistic implications for the removal of the material from the pilot sites to where they will be managed. Options include: Black Soldier Fly (UJ PEETS are already involved in another BSF project), conversion into organic waste (UJ PEETS already involved in similar projects), possible use in biogas (UJ PEETS already involved in similar projects), and proposed biomimicry to assist with the cleaning of the toilet system to eliminate or reduce dependency on water for cleaning; UJ PEETS will undertake testing of prototypes. We are jointly in the process of developing a scope of work for this long term project. 5. Stated focus on WASH, and aligned to the achievement of World Health Organization (WHO) and the United Nations (UN) stated Sustainable Development Goals (SDGs), and most particularly contributing to achievement of: • Goal 3 (good health and well-being): that addresses all major health priorities and calls for (inter alia) ending communicable diseases, reducing non-communicable diseases and other health hazards. • Goal 6 (clean water and sanitation): that aims to tackle challenges related to drinking water, sanitation and hygiene for populations, as well as to water-related ecosystems. • Goal 11 (sustainable cities and communities): that addresses the enormous challenges associated with rapid urbanisation, including inadequate housing, increased air pollution, lack of access to basic services and infrastructure, and inadequate management of waste.",org_004,EverGreen Access
purecircleinnovations,PureCircle Innovations,AP1_Endline_April_24_SA.csv,2024-04,Wins / Proud of,"Can you share the top 5 key business and impact updates, changes or improvements that have taken place since the accelerator programme ended last year?",Working closely with more with our programme beneficiaries. Have a sense of all their successes and urgent gaps that require intervention.,org_003,PureCircle Innovations
clearwaveafrica,ClearWave Africa,AP1_Endline_April_24_SA.csv,2024-04,Impact story,What data and evidence of impact in the communities do you have that validates your ToC and impact ambitions?,"This is ongoing work in progress. However, the initial installed creches we managed to gather questionnaires, meter readings, and in general user observation. From the report, we could define a clear IMM that clearly shows the parameters of measure in factual data and be able to compare the benchmark with impact results.",org_002,ClearWave Africa
