Name;Notes;Assignee;Status;On a scale from 0-10, how much has the Aurelia programme that your organisation participated in impacted you since it concluded?;Please elaborate on how the programme has impacted your work to date;How many beneficiaries is your organisation currently reaching?;What percentage of your beneficiaries are women?;Do you have any other impact data you would like to share?;How much runway (in months) do you currently have? i.e Current Cash Balance ÷ Monthly Total Expenses in USD;What is your monthly recurring revenue (average, last 6 months) in USD ;What are your top 3 needs as an organisation at the moment?;Is there anything else you would like to share with us, anything you are proud of or excited about (such as new milestones, awards, project launches etc.)?;How many people has your organisation reached one year ago (approx. October 2024)
SunWell Africa;;;;8;"With the grant, we built and launched the SunWell Africa 24/7 Pregnancy Support App, now available on both Android and iOS. We also brought on a small team of developers, doctor, midwife who have helped us grow faster and reach more women. Between July and September 2025, our campaigns reached 1.6 million people, with 1,200 app users and 6,500 academy visits recorded. More importantly, SunWell Africa is already improving lives; 207 women monitored their blood pressure and 4,000 symptoms were checked in one month, helping detect early signs of anemia and preeclampsia. Thanks to Aurelia’s funding and mentorship, we’ve grown stronger, reached more women, and made pregnancy care more accessible and preventive.";1200;90;"Social media health education reaches 1.6M in 90 days (July to Oct)
In-App pregnancy Academy recorded 6300 readers in 27 days.
SunWell Africa App is Rated 4.8 stars on Playstore
99% positive review on Playstore
36 topics taught in antenatal class; Jan-Sept ";6;100;"Funding support to help us market our App and hire talents
Access to networks of women communities to distribute our App
Access to marketing and sales consultant who is experinced in healthtech.";"SunWell Africa App has been released and gotten to 1200 users in 4 months with monthly academy visits of over 6500
We designed an initiative called SunWell Africa Champion to aggregate trusted health Educators across Africa on the SunWell Africa Pregnancy Academy,  and right now, we have Aproko Doctor and about 10 other medical professionals signed up to commit to this initiative. 
We were part Nigerian startup that participated in African CDC tech bootcamp in Ghana";
EarthGuard Solutions;;;;10;"The Aurelia Access Accelerator has significantly accelerated our growth and sharpened our execution at EarthGuard Solutions Water Solutions. Through the programme’s structured support, we moved from concept to impact deploying IoT water monitoring systems, piloting filtration infrastructure, and directly training over 300 students on hygiene and water safety.

The grant funding provided the financial flexibility to test and validate our technology in a real-world campus setting, while the learning sessions strengthened our strategy around health impact measurement, community engagement, and business model clarity.

More importantly, being part of a cohort of social innovators, with access to PureGuard’s brand equity and Aurelia’s global insight, positioned us not just as a startup but as a credible partner in solving water and hygiene challenges at scale. This programme didn’t just support our work, it reshaped our ambition. We are now building not just solutions, but a replicable system ready for national expansion.";6000;65;No;6;3000;"1. Access to Scalable Capital
To expand infrastructure, manufacturing capacity, and deployment across more communities, we need flexible, growth-aligned funding not just for pilot projects, but for long-term scale.

2. Strategic Partnerships
We’re looking for collaborations with government agencies, corporates, universities, and NGOs that can help us embed our solutions into larger systems and reach new geographies.

3. Talent & Technical Capacity
As we grow, we need skilled professionals in IoT engineering, data analysis, community engagement, and field operations to strengthen our team and sustain impact delivery at scale.";"We’re incredibly proud to share that just two months ago, EarthGuard Solutions water was awarded the Global Citizen Waislitz Prize which came with a $100,000 grant and global recognition at the Global Citizen Festival in New York.

This milestone has opened transformative opportunities for us. Through a partnership facilitated by Global Citizen, we are now set to build 500 water Infrastructure and scale safe water access to over 100,000 people by 2026. This recognition has not only affirmed our work but also accelerated our vision for national impact proving that youth-led, locally rooted innovation can solve some of Africa’s biggest challenges. We are excited about what’s ahead and deeply grateful for ecosystems like Aurelia’s Access Accelerator that laid the foundation for moments like this.

While in New York, Joshua also participated in recktt facilated events including the Propel Lunch and events at the goals house where he met the CEO of Aurelia and showed hom some of what we have accomplished in Nigeria through the Propel acclerator.";
HydroGuard Solutions;;;;8;The program has helped me to advance in the negotiations with Aurelia team. Since the beginning. I just not selected 10 stars above because we are still waiting the Aurelia team to move on with the project. Once they go further, it will be 12 stars. :) ;300000;n/a ;We have more than 300k people with daily access to our solution in Brazil. We have, in total, more than 4k customers.  ;2 months only - we are facing a hard year, as our operations were blocked for 40+ days in the 2025's first quarter. Our monthly expenses are about 10k USD. ;10k USD. ;Cash flow, sales development and distribution partnerships. ;For now, we are proud of being still working after all the problems that reached our company this year. We know for a 2026 more expressive and impactful. ;
Solace Health Group;;;;8;"The support from Aurelia's  programme is a ""powerful endorsement"" of our model and has been used to accelerate our mission and scale in two core innovations on a mass level . The funds were deployed to expand community-based health programs and enhance the telehealth technology platform .
";300000;50 ;"Denebola's integrated solution delivers measurable social impact and robust operational growth:

I. Transforming Health & Financial Resilience

Lives Served: Over 200,000 unique individuals have benefited from our integrated platform since inception.

Financial Protection: 60,000+ low-income women and their families are covered by Micro-Health Assurance (MHA), resulting in an average 60% reduction in direct out-of-pocket payments for primary care.

Access Achieved: 95% of telehealth users report receiving timely medical advice without needing to travel to a distant hospital, saving patients an average of $5-$15 per visit.

Quality of Care: AI-powered diagnostics have led to a 25% increase in the early detection of common conditions. Essential medicine stock-outs have decreased by 40% at networked clinics.

Reach: Our network spans 300+ rural clinics and is supported by 700+ medical practitioners.

II. Operational & Community Traction

Clinic Loyalty: Annual retention for integrated clinics and health posts is 95%, validating the platform's utility for practitioners.

Community Trust: Women's Savings Group retention is 92% annually, reflecting the high value and strong cultural integration of the MHA program.

Patient Engagement: 75% of telehealth users engage in repeat consultations within a six-month period.

Customer Satisfaction: We maintain a high Net Promoter Score (NPS) of +65, categorizing Denebola as a ""Great"" performer in customer satisfaction.

Gender Focus: 58% of all telehealth consultations are utilized by women, confirming success in reaching our core demographic.";14 months;13000;"Scaling Operations: Expanding the network of rural clinics and community partnerships.
Technology Development: Enhancing the AI-powered telehealth and fintech platform.
Program Expansion: Scaling the community-driven Micro-Health Assurance (MHA) scheme";N/A;
FreshWave Solutions;;;;3;We were on a roll until the funds delayed from Aurelia and we were unable to do our school outreach before schools closed, and now that they are open the Kenya team changed and we don't have our second tranche of funding nor do we have permission to use the brands logo or have any samples until January, so everything now is a bit different than my answers would have been in April. We have spent a lot of hours working on relationship development within Aurelia and amongst the schools we intended to visit this term, and that has been a high cost with no ability to do anything now. However, the Access Accelerator training was wonderful and YSI has been a wonderful resource of ideas and encouragement! ;52370;100;"We are hoping to close an equity investment that will allow us to have a launch date.
Through 44 NGOs and CBOs purchasing from us, our pads have been in 288 schools, distributing 198,123 packs and ensuring 898,345 days (including nights!) of stress-free period management for 16,661 girls. In addition 2,294 boys received boxers.
Without external funding to drive growth and without the ability to hire a sales team, retail has struggled; however we have sold 1,061,452 pads through trade to an estimated 33,414 unique users, bringing our total customer reach YTD to 52,370.

I've attached a working draft of the non-profit's impact report. This was published by our USc3. We will be tailoring it for the Kenyan audience and adding the non-profit work but thought you might like to see it.";0;22000;"1. Investment leads
2. Breakthrough with Aurelia Kenya - how to get back on track with Durex, how to plan for modern trade launch and Aurelia's minimum pledged commitment on that to help us secure better trade terms
3. hybrid diaper manufacturing partner";"Our non-profit launched a report on online child safety for intellectually challenged students. 
It was wonderful to attend in person some of the Aurelia Propel activities at UN General Assembly
We won some Diversity and Inclusion awards this year 0 Award for Inclusive Social Enterprise; and our non-profit bagged ""best gender lens for development program""
We also won the 2024 (dec) Project Management Institute Award for Best Social Impact Project";
Argent Water Technologies;;;;7;Participation in the Aurelia program came at a pivotal moment for Argent Water Technologies. As we fundraise, it helped us learn, expand our network, and start conversations with potential funders. Several are now moving through our pipeline, and we’re working to close our largest round to date.;1346070;65;We will be sharing our end of year Newsletter to highlight what amazing Impact, Argent Water Technologies has achieved this year!;4.5;79200;"'- Fundraising opportunities; blended capital for scale 

- Demand-anchoring MoU ; Predictable volume via ANC/PNC ultrasound days and NCD clinics with district/employer/NGO partners.

- Investor readiness (new for us); Coaching on investor scouting, approach, and funnel discipline; light CRM + data-room check.";Shortly before the program concluded, we closed a convertible note with Bayer and the WeShare Foundation. We’re also in the Vilgro–Boehringer Ingelheim incubation/acceleration program to strengthen our readiness for the current fundraising round;
Vireo Health Systems;;;;10;This program has helped us to restructure our team such that each person is more productive, and there is no idle time. It has also helped us in the daily operations of the business, our weekly meetings are now very intentional and properly scheduled. Our overall impact has improved as a result of these;600000;65%;;4 months;$7,466.51 (Mar- Aug)2025;"More partnerships
";;
TerraNova Water Group;;;;8;The Theory of Change training through the Aurelia Propel programme was transformative for our organisation. It enabled us to formalize our internal impact framework and develop a clear company-wide Theory of Change, which now guides all our program design, reporting, and communications. This structure has enhanced our ability to measure, communicate, and scale impact across regions.;2000000;52%;"2 million people served daily through TerraNova Water Group’ OASIS Box deployments.

1.85 billion cups of clean water delivered globally to date.

71,000 tonnes of CO₂ emissions avoided annually through renewable-powered purification systems.

Deployment in 485 community projects across Pakistan, Kenya, Jordan, Zambia, and the UAE, with expansion supported by the new local manufacturing facility launched in 2025 to scale up to 50 units per month.

First compliance-grade carbon credit project for safe drinking water approved by the Government of Pakistan under Article 6.2 of the Paris Agreement.";10-12 months ;65,000;"Working capital: to accelerate manufacturing scale-up for OASIS Boxes in Kenya and Pakistan.
Strategic partnerships: for scale and impact
Talent and capacity expansion in data analytics and impact monitoring to integrate AI-based predictive systems from our Climate-AI Water Management platform.";"Successful deployment of OASIS Boxes in Kenya and first installations with UNRWA in Jordan, expanding access to clean water for refugees.
Carbon Credit LOI approval from Pakistan’s Ministry of Climate Change, a national first for safe drinking water projects.
Launch of the AI-powered Smart Water Hub, integrating real-time monitoring and predictive maintenance across all units.";
WellSpring Technologies;;;;8;"The Aurelia Programme has been a major turning point in my journey with WellSpring Technologies. Before joining the programme, our hygiene education and WASH initiatives in underprivileged schools were largely driven by passion and limited resources. The Aurelia experience changed that — it gave structure, visibility, and strength to our vision.

Through the training and mentorship, I gained practical business and impact skills that helped me refine our model from a simple awareness drive into a scalable social enterprise. I learned how to track impact, build partnerships, and measure social change more effectively.";25000;"Approximately 60% of our beneficiaries are women and girls.

This includes female pupils, teachers, and caregivers who actively participate in our hygiene education, WASH clubs, and community outreach activities. In many of the schools we serve, girls form the majority of the pupils engaged in our handwashing and body hygiene programs.

Our initiative also intentionally empowers female teachers and school owners as hygiene ambassadors and distributors, helping them build additional income streams while promoting children’s health.
";Yes. ;3000 dollars;600 dollars;"1. Sustained Funding and Partnerships:
To expand our WASHathon impact from 30 to 100 underprivileged schools, we need continuous financial and corporate support for hygiene education materials, logistics, and production of the Amaka Chukwu Hygiene Buckets.


2. Operational Capacity and Staffing:
As our outreach grows, we need additional staff and trained volunteers in programme coordination, monitoring & evaluation, and community engagement to sustain quality impact delivery.


3. Infrastructure and Logistics Support:
We need a project vehicle and basic field equipment to enable efficient transportation of hygiene products, materials, and the buckets across schools in Alimosho and neighbouring communities.";"Yes, we are very excited about several recent milestones that reflect our growing impact.

In October 15th  2025, WellSpring Technologies, in partnership with PureGuard Nigeria , successfully hosted the Global Handwashing Day Celebration at Shalom Amusement Park, Alimosho, Lagos. The event brought together over 800 pupils and 95 teachers from underprivileged primary schools, creating a joyful and memorable learning experience on the importance of proper hand hygiene.

We are also thrilled about our ongoing partnership with Daraju Industries Limited, which is currently implementing a hygiene education project across 50 primary schools. This collaboration is expanding our reach and strengthening hygiene behaviour among children and teachers at the grassroots level. We have given out over 30,000 hygiene packs which includes facetowels, toothpastes,  toothbrushes, tabletsoaps, detergents and sanitizers. 

Another major highlight is the innovation of the Amaka Chukwu Hygiene Bucket, designed to provide affordable access to running water in schools that lack proper water facilities. To date, the hygiene bucket has been deployed in several underprivileged schools across Alimosho, making daily handwashing possible and sustainable for thousands of children.
In our efforts we have reached over 450,000 students in Alimosho since 2014, when we started hygiene out reaches in Alimosho, we have over 300 school networks we are working with. 

Together, these milestones mark a season of growth and renewed commitment to our vision of reaching 1 million children with life-changing hygiene education and facilities by 2030.";
EcoPulse Technologies;;;;7;The Aceleradora de Impacto Aurelia programme has been instrumental in helping us refine and mature our strategy for selling and scaling our portfolio of transformative solutions. Although we are a non‑profit organisation, we increasingly needed to operate with the mindset of a high‑impact venture: to reach more people, expand our footprint, and ensure our solutions are sustainable and scalable.;2000;50%;our main focus is to impact vulnerable territories and public schools. More info https://EcoPulse Technologies.org.br/doe/;At the moment, our financial runway is limited due to short-term cash flow constraints. This is primarily because we were approved for two publicly funded projects, but the disbursement of funds has been delayed. As a result, while our projected revenue for the semester remains solid, we are currently operating under economic pressure. However, we expect this situation to improve soon. We are scheduled to receive R$100,000 from AMA, a brand of Ambev, in the coming weeks. This confirmed funding will help stabilize our operations and extend our runway.;USD 10,000;"Top 3 Needs for EcoPulse Technologies at the Moment:

Short-term Financial Stability & Bridge Funding
Due to delays in the release of approved public funds, we are experiencing temporary cash flow challenges. While we have confirmed incoming resources (e.g., R$100,000 from Ambev's AMA brand), we currently need short-term bridge funding or financial support to maintain operations and deliver ongoing projects without interruption.

Strategic Partnerships for Scaling Impact
As a non-profit with transformative solutions, we are looking to deepen strategic partnerships—with both the private and public sectors—that can support us in scaling our initiatives. We seek partners who can offer not only funding but also shared infrastructure, distribution channels, or technical expertise.

Strengthening Sales & Distribution Capabilities
Following our participation in the Aurelia Impact Accelerator, we have matured our portfolio and commercial strategy. Now, we need support in implementing this strategy—especially in expanding our sales and distribution capabilities to ensure our solutions reach more communities across Brazil and beyond.";We are proud to share that EcoPulse Technologies has been awarded the SESI ODS Seal for the third consecutive year. This recognition highlights our continued commitment to the Sustainable Development Goals (SDGs) and acknowledges the tangible impact of our initiatives on social and environmental transformation in Brazil.;
Palmbrook Innovations;;;;9;The Aurelia Propel programme strengthened our impact measurement and market expansion strategies. It improved our data systems, sharpened our gender lens in mental health delivery, and helped position us as a credible partner for PPPs and results-based financing. The mentorship and visibility gained led directly to partnerships with national insurance schemes and introduction to institutional investors like The Transform Health Fund. It also shaped our women-focused maternal mental health program, Maisha Mothers, into a scalable, financially self-sustaining model now integrated into Kenya’s universal health program.;7893000;67;"Over 500,000 women have participated in our Maisha Mothers program, benefiting from continuous mental health screening and integrated postpartum support.

Through Mindful Refill, women managing chronic conditions like epilepsy and depression have saved an average of 30–50% on medication, reducing dropout rates due to cost.

Duka, our group-buying platform, enables women to purchase everyday essentials (e.g., diapers, sanitary pads) at discounted prices via partner shops and pharmacies. Over $300,000 in cumulative savings have been generated for participating women across 3 countries.

80% of Maisha Mothers users report improved emotional wellbeing and reduced isolation after just 4 sessions.

More than 70% of our user base is women, and the majority are repeat users, indicating strong trust and retention.

Women-led savings groups have integrated Mindful Refill and Duka into their monthly budgets, showing the programs’ integration into daily life and household economics.";We are profitable;147000;"Growth capital to scale government-partnered programs across 10 African countries

Strengthened AI-driven data infrastructure for automated screening and reporting

Strategic partnerships with insurers, pension funds, and outcome funders to expand results-based financing";"• Named “Startups to Watch 2025” by Bloomberg and Africa Digital Health Network (ADHN)
• Rwanda hard launch preparations; Mindful for Schools and Workplaces in pipeline
• Ajala anonymous calling platform moving to national-scale pilots with insurer partnerships";
VitalWave Systems;;;;10;O programa foi essencial para o amadurecimento e crescimento da organização uma vez que não só lapidou melhor possibilidades de modelos de negócios como também abriram portas para novos parceiros ;2;Pelo menos metade delas;;3x;200.000;;;
Ashgrove Solutions;;;;6;Exposure during WHA was eye opening on the needed presence in similar events and their role on a branding and commercial side.;50000;50;We provide around 50000 test a month which means that we enable the diagnosis of 50,000 patients a month and hence correct treatment ;10;45000;Access to international buyers in healthcare, gates foundation and global fund;;
Larkspur Health Network;;;;6;Better measurement , embedding new metrics , understanding more about government needs;4000000;52;;6;350000;"Intro to investors 
Intro to decision making persons at MOH , EHA, UHIA, WHO
Intros to impact funds ";Selected for Google Govtech AI program 2025 ;
BrightWell Solutions;;;;10;The Aurelia programme significantly enhanced our capacity to scale impact sustainably. Through mentorship and the seed funding we improved our production processes, refined our value proposition, and expanded our menstrual health programming. The programme also helped us formalise our operational structure and better position ourselves for funding and strategic partnerships.;1000;97;"Over 35,000 reusable menstrual kits have been produced and distributed across Nigeria since BrightWell Solutions started 

Delivered menstrual health programs in 50+ secondary schools and communities

Trained 200+ peer educators on menstrual hygiene and period positivity.

Reduced period-related absenteeism in target schools by up to 30% (based on follow-up surveys).

Increased production capacity that have us increase  manufacturing and packaging";1200;700;"Working capital to scale production and meet increasing demand to have products instore 

Distribution partnerships to expand reach into rural and hard-to-reach areas.

Grant or equity funding to pilot a menstrual health tracking and education app under BrightWell Solutions Femtech";"We recently co-convened Nigeria’s first-ever Menstrual Health & Hygiene Summit 2025, alongside the Federal Ministry of Women Affairs, bringing together 200+ stakeholders.

BrightWell Solutions was named a finalist for the Study UK Alumni Awards 2025 in Business Innovation.

We are piloting a WhatsApp-based menstrual health chatbot through our tech arm, Obrin Health, to improve access to SRHR information for girls and women in underserved communities.";
